Titles
"#181 - A Bloody Path To A Monster in Enosburgh, Vermont"
"#180 - Dark & Dirty Motivation in Mustang, Oklahoma"
"#179 - Deep Beneath The Goat Heads in Gunnison, Colorado"
"#178 - Proud To Be Cruel in Middle River, Maryland"
"#177 - Sex, Deception, Death... And A Pig in Verdigre, Nebraska"
"#176 - Sicker Than The Average Strangler in Gaffney, South Carolina"
"#175 - Cruel, Unusual & Pointless in Newville, Pennsylvania"
"#174 - Open & Not So Shut in Belle Terre, New York"
"#173 - Three Is A Ring, Four Is A Crowd in Marmaduke, Arkansas"
"#172 - Natural Born Killer Idiots in Chubbuck, Idaho"
"#171 - Til Dismemberment Do Us Part in Decatur, Alabama"
Bonus Episode! Prisoner Dating Game - All Violent Felon Edition
"#170 - An Attempted Suburban Vampire Cult in St. Cloud, Minnesota"
"#169 - A Brutal, Silly & Victimless Murder in Layland, West Virginia"
"#168 - A Killer In The Cards in Mexborough, South Yorkshire, England"
"#167 - You'll Have To Chop Off More than That... in Antelope, California"
"#166 - Starting Your Own Religion Can Be Tricky in American Fork, Utah"
"#165 - Sex Tape Bait in Port Penn, Delaware"
"#164 - The Idiotic Avenger in Greenwood, Florida"
"#163 - Teenage Killer Lesbian Vampire Werewolves From Space in Humble, Texas"
"#162 - A Very Unstable Genius in Chatham Township, New Jersey"
"#161 - Killing On Consignment in Nashville, Michigan"
"#160 - Trust Me, I'm A Murderer in Festus, Missouri"
"#159 - You Can't Dismember Your Problems in Florence, Arizona"
"#158 - A Hollow Full Of Murder in Tiline, Kentucky"
"#157 -  Every Step You Take... in Jefferson, Wisconsin"
"#156 - Lies Can Be Deadly in Salem, Massachusetts"
"#155 - Two Bodies & One Big Coincidence in Raeford, North Carolina"
"#154 - A Bloody Puzzle With Missing Pieces in Bartlesville, Oklahoma"
"#153 - That Can't Be An Accident in Brookfield Township, Ohio"
"#152 - Taming The Beast in Shelton, Washington"
"#151 - The Panhandle Samurai in Vincennes, Indiana"
"#150 - A Betrayal Of Hearts & Knives in Rome, Georgia"
"#149 - Brutality, Karma & Cold-blooded Stupid in Stillwater, New York"
"#148 - A Deadly Recipe in Alturas, Florida"
"#147 - That's Not Junk In That Trunk in Ocean Township, New Jersey"
"#146 - A Strangle Here, A Strangle There in Hutchinson, Kansas"
"#145 - Killing, Cover Up & A LOT of Sex Toys in Fremont, New Hampshire"
"#144 - One In A Ditch & One In A Bed in Forest City, Iowa"
"#143 - A Scary Story On A Quiet Street in Pitman, New Jersey"
"#142 - Where Is The Head?? in Dickson, Tennessee"
"#141 - The Bart & Milhouse Ritual Killing in Springfield, Oregon"
"#140 -  When Death Is Too Easy in Troy, Illinois"
"#139 - The Murder Portal Is Open in Little Compton, Rhode Island"
"#138 - The Cookie Monster in Walnut, Mississippi"
"#137 - A Murder Not-So-Mystery Weekend in St. Michaels, Maryland"
"#136 - Unearthing Some Secrets in Eunice, New Mexico"
"#135 - A Sun Powered Killer in Edinburg, Virginia"
"#134 - Some People Just Don't Mix in Byers, Colorado"
"#133 - What's That In Your Pocket? in Mount Ida, Arkansas"
